json	42	{"ExprInt":{"data":42}}
json	true	{"ExprBool":{"data":true}}
json	"hello"	{"ExprString":{"data":"hello"}}
json	`rho:id:abc`	{"ExprUri":{"data":"rho:id:abc"}}
json	Nil	-
json	1 | 2	{"ExprPar":{"data":[{"ExprInt":{"data":1}},{"ExprInt":{"data":2}}]}}
json	[1, true]	{"ExprList":{"data":[{"ExprInt":{"data":1}},{"ExprBool":{"data":true}}]}}
json	Set(1, 2)	{"ExprSet":{"data":[{"ExprInt":{"data":1}},{"ExprInt":{"data":2}}]}}
json	(1, "a")	{"ExprTuple":{"data":[{"ExprInt":{"data":1}},{"ExprString":{"data":"a"}}]}}
json	[[1]]	{"ExprList":{"data":[{"ExprList":{"data":[{"ExprInt":{"data":1}}]}}]}}
json	{"a": 1}	{"ExprMap":{"data":{"a":{"ExprInt":{"data":1}}}}}
json	bundle+{1}	{"ExprInt":{"data":1}}
