sort	@"c"!(1)	@"c"!(2)	lt
sort	@"c"!(2)	@"c"!(1)	gt
sort	@"c"!(2)	@"c"!(2)	eq
sort	@"c"!(1)	@"c"!("a")	lt
sort	@"c"!("a")	@"c"!(true)	gt
sort	@"c"!(true)	@"c"!(1)	lt
sort	@"c"!([1])	@"c"!(Set(1))	lt
sort	@"c"!([1])	@"c"!((1, 2))	lt
sort	@"c"!([1])	@"c"!([1, 2])	lt
sort	@"c"!(1 + 2)	@"c"!(1 + 3)	lt
sort	@"c"!(1)	@"c"!(1 + 2)	lt
sort	@"a"!(1)	@"b"!(1)	lt
sort	@"c"!([1])	@"c"!(1 + 2)	lt
sort	@"c"!(1 * 2)	@"c"!(1 + 2)	lt
sort	@"c"!(1 - 2)	@"c"!(1 * 2)	gt
sort	@"c"!(false)	@"c"!(true)	gt
sort	@"a"!!(1)	@"b"!(1)	gt
sort	new x in { Nil } | 1	[1]	lt
sort	[1]	new x in { Nil } | 1	gt
sort	1 && 2	1 and 2	gt
sort	1 || 2	1 or 2	gt
sort	1 matches 2	1 == 2	gt
sort	1 && 2	1 || 2	lt
sort	1 matches 2	1 % 2	lt
sort	1 && 2	1 % 2	gt
sort	BigInt(1)	BigInt(2)	lt
sort	BigInt(42)	42	gt
sort	BigInt(0)	[1]	gt
sort	BigInt(42)	1 + 2	lt
sort	Set(1) -- Set(1)	Set(1)	gt
sort	[1] ++ [2]	[1] + [2]	gt
sort	1 %% 2	1 % 2	lt
sort	1 %% 2	1 matches 2	gt
sort	1 && 2	1 ++ 2	gt
sort	1 ++ 2	1 -- 2	lt
sort	1 -- 2	1 % 2	lt
sort	1.foo(2)	1 + 2	gt
sort	1.foo(2)	1 matches 2	lt
sort	1.foo(2)	1 %% 2	lt
sort	1.foo(2)	2.foo(2)	lt
sort	1.foo(2)	1.bar(2)	gt
sort	1.foo(2)	1.foo(3)	lt
